sentence,language
I can't believe I am so angry after seeing this that I am about to write my first ever review on IMDb.<br /><br />This Disney documentary is nothing,English
"Yesterday was Earth Day (April 22, 2009) in the US and other countries, and I went to see the full-feature movie-version of ""Earth"" by DisneyNature. I guess, like the auto manufacturers, Disney is trying to convince us that they care",English
"i don't know why, but after all the hype on NPR i thought this was a new movie.....all the best footage has been used for BBC docs and NatGeo projects that you have seen if you are interested in nature",English
A lot of death happens in the wild. You don't need to be a rocket scientist to figure that out! But does it need to be the focus of a nature documentary? What is with this,English
"My title above says it all. Let me make it clearer. If you have seen the BBC's ""Planet Earth"" , which I am sure most of you have , then you are not gonna",English
For those who'd like to see this movie? I'd say: go! Without the narration,English
"The Invisible Man is a fantastic movie from 1933, a cutting edge",English
"One could wish that an idea as good as the ""invisible man"" would work better and be more",English
"I get to the cinema every week or so, and",English
(some spoilers) - as if you wouldn't know how it'll end<br /><br />My expectations for HOLLOW MAN were high. A very good,English
"Leave it to Paul ""sex on the brain"" Verhoeven to come up with a pointlessly sleazy and juvenile version of the INVISIBLE MAN story. If he'd direct a Pokemon film,",English
Going into this movie you know that this is movie has six lab,English
This is the kind of movie that leaves you with,English
"Within the realm of Science Fiction, two particular themes consistently elicit interest, were initially explored in the literature of a pre-cinematic era, and have since been periodically revisited by filmmakers and writers alike, with varying degrees of success. The first theme,",English
"I don't normally feel much of an incentive to comment on films I don't like, but in a",English
"Unfortunately, one of the best efforts yet",English
"<br /><br />Paul Verhoeven finally bombed out on this one. He became a joke on himself. Once again we have a film which includes sex and violence, immorality, leering at women and lots of attitiude",English
"Other than some neat special effects, this movie has nothing to offer. They threw in some gore and some nudity to try and",English
"I love special effects and witnessing new technologies that make science fiction seem real. The special effects of this movie are very good. I have seen most of this movie, since it's been airing on HBO for the past couple of months. I must admit, I MAY",English
"The buzz for this film has always been about the fabulous graphics that make Kevin Bacon disappear. Sadly, they stopped there. They should have continued to make the script disappear, then the silly set, and",English
"This movie is worth watching if you enjoy marvelling over special effects. There are some interesting visuals.<br /><br />Aside from that, it's typical nineties/aughties hollywood fare of",English
"Shortly after seeing this film I questioned the mental competence of every actor and actress that accepted a role. Elizabeth Shue is a commendable actress, why would she embrace such an",English
"Another violent, angry fantasy from Paul Verhoeven. Verhoeven is a puzzle: it's difficult to tell whether he takes his sordid impulses seriously, with sardonic intent",English
"To describe this film as garbage is unfair. At least rooting through garbage can be an absorbing hobby. This flick was neither absorbing nor entertaining.<br /><br />Kevin Bacon can act superbly given the chance, so no doubt",English
That's what I found myself saying time after time in the remarkably inept 3rd act,English
I rarely make these comments but I felt compelled to spare others the pain I endured in watching this movie. It's so stupid and implausible both in the overall story and in the details that you,English
This picture started out with good,English
C'mon guys some previous reviewers have nearly written a novel commenting on this episode. It's just an,English
"Okay, now what the hell is this supposed to be? Is it a family fantasy movie to cash in further on the huge success of Spielberg's ""Close",English
I saw this when it was,English
"When I ordered this from Blockbuster's website I had no idea that it would be as terrible as it was. Who knows? Maybe I'd forgotten to take my ADD meds that day. I do know that from the moment the cast drove up in their station wagon,",English
"I cheer for films that fill in subject matter gaps in world cinema. So after watching the trailer for ""Water Lilies,"" I expected to like this film because I thought I'd stumbled on something unique: a movie that honestly portrays teen lesbian love - sort of a female version",English
"For anyone craving a remake of 1989's Slaves of New York. What are there, seven of you? Here it is... was.<br /><br />This",English
"Besides being boring, the scenes were oppressive and dark. The movie tried to",English
"For the first couple of seasons, I thought The Apprentice was a highly engaging and exciting show. The combination between reality TV and a 16 week job-interview was innovative, and the producers of the show managed to keep the show",English
I LOVED the Apprentice for the first two seasons.<br /><br />But now with season 5? (or is it 6?) things are getting just plain too,English
I bet you Gene Simmons and Vincent Pastore negotiated in advance how many episodes they,English
"I can't stand most reality shows and this one is worst than the one with Paris Hilton, and sure it's his company. But ""you're fired""",English
One has to wonder if at any point in the production of this film a<br /><br />script existed that made any sense. Was the rough,English
Jochen Hick wrote and directed this little thriller of a suspense film based on the concept that the AIDS virus was a sheep virus mutated by the government to rid the world of gays and was apparently tested on convicts in the years before the outbreak of,English
Poorly written conspiracy drama/mystery about the possibility that AIDS was introduced to the public by the government. Wlaschiha plays a gay researcher looking for answers--that within this foggy plot would be hard for anyone to find. Despite the,English
I don't give much credence to AIDS conspiracy theories but its sociologically,English
The cliché of the shell-shocked soldier home from the war,English
"The Good Earth is perhaps the most boring film I've seen in my life. The plot is slow and lacking. The acting is borderline comical. While I love Paul Muni, I can now say i have seen a film that does not do his true ability justice. The",English
"The Good Earth is not a great film by any means, it is way to ordinary. Maybe it was different in the 1930's but who would want to see the life of a farmer. It is not very interesting to me.",English
"A couple of farmers struggle in life in a small village in China. Wang Lung (Paul Muni) buys O-Lan, his future wife, who becomes his slave (Luis Rainer). American stars appear",English
"Luise Rainer received an Oscar for her performance in The Good Earth. Unfortunately, her role required no. She did not say much and looked pale throughout the film. Luise's character was a slave then given away to",English
Well I'm probably,English
The Good Earth follows the life a slave girl and a poor farmer in China. The movie is based on the novel by Pearl S. Buck. The story is,English
"Well, what was fun... except for the fun part.<br /><br />It's my second least favorite so far, I even thought it was worse than 'Lazarus' and 'Ghost in the Machine'.<br /><br />Let's start with the good. The teaser, it was incredibly well done",English
"Amazing. That's what you'd say if you sat through this film. Simply, incredibly, amazing. It's actually so amazing that anyone was stupid enough to dump money",English
"This movie could be used in film classes in a ""How Not to Script a B-Movie"" course. There are inherent constrictions in a B-movie: Budgets are tight, Time is precious (Scarecrow was apparently shot in 8 days) and the actors are often green and",English
"I desperately want to give this movie a 10...I really do. Some movies, especially horror movies are so budget that they are good. A wise-cracking ninja scarecrow who can implement",English
"This movie had the potential to be a decent horror movie. The main character was decently done and I felt sorry for him and there was a decent amount of backstory. HOWEVER, everything",English
"Oh dear lord. This movie... It was horrible. I am a HUGE fan of horror movies. And most of the time, horror movies other people say are",English
"Spirit of a murdered high school geek animates a scarecrow which then takes revenge on everyone.<br /><br />This movie really annoyed me. It has a great looking monster, has some good low budget effects, some atmosphere",English
With all the excessive violence,English
The director states in the Behind-the-Scenes feature that he loves horror movies. He loves them so much that he,English
Scarecrow is set in the small American town of,English
This movie is so aggrivating. The main character looks like he's 35 and I've seen scrawny beanpoles with more balls than this guy. The plot twists are so predictable its not even worth watching,English
Holy @#%& this movie was still warm and juicy from the pile it was made with. I tried to,English
"I saw this not too long ago, and I must say: This movie is terrible. I watch crappy movies for fun. Scarecreow is not fun. Scarecrow is stupid. You have an incredibly corny villain that enjoys screaming awful puns as",English
WOW is all i can say if your reading this is either watched it or are thinking about it. trust me watch it!<br /><br />i laughed,English
Perhaps one of the worst teenage slasher films I ever did see. I'll start with the,English
"First off, let me start with a quote a friend of mine said while watching this movie: ""This entire movie had to",English
Let's face it; some lame kid who dies and has his soul transfered into a scarecrow. Das no,English
"I've gotta say, I usually like horror movies that i've never seen... however, this one was just to pathetic for my gory taste. I'm used to the gory, gut wrenching types... but this particular movie",English
I'm watching this on the Sci-Fi channel,English
"Wow, what can I say about this film? It's a lousy piece of crap. I'm surprised that it got rated as high as it did. What's wrong with this film? Here's a better question: What's NOT wrong",English
"A far as B-movies go, SCARECROW is one of those that are so bad, that it becomes incredibly annoying to sit through. A lonely loser high school student who is constantly picked on by classmates and rejected by girls,",English
"Okay, 'enjoy' is a pretty relative term, but flexibility is in",English
"I purchased this film on the cheap in a sale, having read the back of the DVD case and assuming that either way I can't lose, it if was rubbish then no loss, if it was",English
This was an,English
"Creep is the story of Kate (Potente), an intensely unlikeable bourgeois bitch that finds herself somehow sleeping through the noise of the last underground train, and waking up to find herself locked in the tube station. After somehow meeting",English
"The London Underground has something inherently creepy about it, with its long winding tunnels, the escalators taking you deeper and deeper underground, and of course the rats roaming the tracks.It a source of wonder that it is not used in horror films more often.",English
"The potential was there. I saw Creep and thought, 'Oooh, this is getting interesting' several times. Yet somehow the interesting plot lines wound up unexplained or ignored, like they never happened. The lead character was irritating throughout the movie, and at",English
I'll keep this short as a movie like this doesn't deserve a,English
I was so disgusted by this,English
Absolutely laughable film. I live in London and the plot is so ill-researched it's ridiculous. No one could be terrorised on the London Underground. In the short time it is not in service each night,English
"Yet another example of the complete waste of UK Lottery money. Just how commercial did this film prove. The Film Council ,who funded this miserable garbage should be stranded, on one of the London Undergrounds disused stations, for allowing this clichéd, dismal specimen to be committed to film,",English
!!!!! OF COURSE THERE'S SPOILERS !!!!! I'm sure this project started off as a screen writing workshop on avoiding clichés in horror movies: Female,English
"......in a horror movie that is. Alright first off , lets start with Kate. Her main goals include getting laid by George Clooney, looking good and last but not least screwing everyone over. Gotta love her. She had about 3 amazingly good chances to finish",English
"Okay I must say that before the revealing of the 'monster'. saying that he really didn't fit into that category, just some weird thing that had an annoying",English
"Please, be warned: this movie, though a pretty bad storyline, was one of the most gruesome movies I have seen...EVER. Just remember that before you settle on your sofa to enjoy the",English
This film is a perfect example of the recent crop of horror,English
"Basically what we have here is little more than a remake of the hilarious 1970's classic kitsch horror 'Death Line' which ironically was like this cobblers, also partly filmed at the disused Aldwych",English
"Creep - ""Your journey terminates here."" Some very graphic scenes and...well, yeah, that's about all for this film.<br /><br />No real plot, no storyline. No likable characters, well, 'characters' isn't correct considering you don't have a clue who",English
I just rented Creep and was not at all impressed. I didn't feel,English
This is quite possibly the worst film I have ever seen. Worse than the most abhorrent American dross; worse,English
"All logic goes straight out of the train window in this British horror film, set in the London underground and starring the usually reliable Franka Potente (Run Lola Run), Franka plays Kate,",English
"I was really, really disappointed with this movie. it started really well, and built up some great atmosphere and suspense, but when it finally got round to",English
I was sadly disappointed by this film due to the fact that it felt false and the characters were not strong enough,English
"Honestly, I went to see the movie, not because of the actors, not because of the plot but because it was rated 17 here in Luxembourg and a movie has to be really brutal",English
"I am compelled to write a review of this IMAX feature as a means of warning others to SAVE YOUR MONEY. Almost any episode of Desmond Morris' ""The Human",English
This film differentiates itself from,English
After what I thought,English
"The original movie, Man From Snowy River, is one of the best I've seen, nearly perfect. A Lady and the Tramp storyline in two senses--rich girl/poor boy, and ability vs. bloodline.",English
"This film, like the first one (""The Man From Snowy River"") has the same good and bad features, perhaps even more",English
"I bought this adaptation because I really liked Anne Brontë's novel when I read it some time ago and usually particularly enjoy BBC dramas. But I'm very disappointed, I never thought it would be as bad as that: the",English
"Brilliant book with wonderful characterizations and insights into human nature, particularly the nature of addiction, which still resonate strongly today.<br /><br",English
Before I go on I have to admit to being a huge Bon Jovi fan. In fact thats what attracted me to the DVD case in the first,English
"Really bad movie, the story is too simple and predictable and poor acting as a complement.<br /><br />This vampire's hunter story is the worst that i have",English
Listening to the director's commentary confirmed what I had,English
This is not a good film. The acting is remarkably stiff and unconvincing.The film doesn't seem to know whether it is going for a real horror approach or to go,English
"First of all, Jon Bon Jovi doesn't seem to be in place in a vampire movie. Together with the other not so interesting characters and",English
Hi folks<br /><br />Forget about that movie. John C. should be ashamed that he appears as executive producer in the,English
"This movie isn't very good. It's boring, and",English
This movie was messed up. A,English
"The last reviewer was very generous. I quiet like the first movie, but can't say I enjoy this one very much. The beginning is bearable, but it goes downhill pretty quickly. I just don't see Jon Bon Jovi as",English
"Ugh, what can I say other than, ugh. I rented this film because it was labeled as a sequel to the original Vampires. This movie could",English
"I only rented this because i loved the first movie. However, calling it John Carpenters Vampires: Los Muertos is just a con trick to get you to rent it. He is in",English
"John Carpenter's career is over if this sad excuse for a movie is any indication. His excuse is that he only produced it. Jon Bon Jovi looks like a girl. In fact, Bon Jovi and the two Vampire girls,",English
"Thanks for killing the franchise with this turkey, John Carpenter and Tommy Lee Wallace. This movie sucks on so",English
"This ""Debuted"" today on the SciFi channel and all I can say is ""I am speechless"" I taped it today so I",English
This movie is one of the most awful movies ever made.How can Jon Bon Jovi play in a,English
This movie was very very mediocre and very very gory. everyone left their acting lessons at home and totally forgot how to act I mean it was so bad and had no real,English
"The same difficulty I have with the musical version of ""Les Miserables"" applies equally to ""Oliver."" Instead of the composers' writing in the stylistic period of the play settings, they merely wrote Broadway-type melodies, which were historically unidiomatic and stylistically skewed.<br /><br",English
"The producers made a big mistake casting Mark Lester, who",English
"Must every good story be ""improved"" with added corny Broadway music? Apparently those who can't come up with their own plots think that classic literature is just there for the plundering. I confess that Oliver",English
I like musicals but as a Dickens fan I HATE this one. **MILD SPOILERS** Starving boys who have enough energy to sing and,English
"Well, I saw this movie yesterday and it's - unfortunately - worse than you could think. First",English
"It's not like I have overwhelmingly fond memories of Verhoeven's original pants-down shocker - it always struck me as a glossy, well-made airport-novel-of-a-movie. Thrilling, sexy trash, but trash nonetheless. It was also a film that tapped into a certain sexual zeitgeist. After a decade of",English
"I saw this film at the London Premiere, and I have to say - I didn't expect much, but I did expect something that was at",English
"It's been about 14 years since Sharon Stone awarded viewers a leg-crossing that twisted many people's minds. And now,",English
"It's hard to believe, after waiting 14 years, we wind up with this piece of cinematic garbage. The original was a high impact, dark thriller that achieved ""cult"" status",English
"In my book ""Basic Instinct"" was a perfect film. It had",English
"The film is pretty confusing and ludicrous. The plot is awful...but on the plus side the acting is pretty good, with a few good shouts and rants. Sharon stone is OK this time...not even half",English
"This film is awful. The screenplay is bad, the",English
"After eagerly waiting to the end, I have to say I wish I wouldn't have joined the whole series at the first place. The final episode was everything against the previous seven years. It has ruined everything. The journey was",English
I sat through almost one episode of this series and just couldn't take anymore.,English
"I've been going through the AFI's list of the top 100 comedies, and I must say that this is truly one of the worst. Not",English
"After the superb AANKHEN(2002) which was a remake of a Gujarati play he comes with WAQT which too looks like a stage play<br /><br />In stage plays, we have characters",English
"I cannot believe that the Indian film industry still puts out such third-rate dross as Waqt. For starters, the storyline is totally",English
I saw the 7.5 IMDb rating on this movie,English
"This movie's full title is ""Waqt: Race Against Time"". That's a race no one can ever",English
Those 2 points are dedicated the reasonable performance from Akshay Kumar. I know Bollywood films do not really strive to be realistic but PLEASE a Walt Disney production is more realistic than this plot. The father is dying and does what any good parent does...kick his son,English
"this is just usual Indian garbage that gets turned out as cinema, as Indians",English
PROS: Akshay Kumar's performance(is it just me or does this guy always manages to trump AB in their movies together?). Some touching scenes in the 2nd half.<br /><br />CONS: The whole 1st hour(the jokes were flat to say the least). Every scene involving Rajpal Yadav. Major stupidity in AB's,English
well well One cant b wasting time just cause,English
First of all,English
"I found this film to be quite an oddity. From the very get go I found it extremely hard to like this movie, and now after a little thinking about it I",English
ALL FOR LOVE ( as it titled when it was broadcast at the weekend ) is a romantic period drama featuring Captain Saint Ives a French officer in Napoleon`s army who is captured,English
"Around the late 1970's, animator Don Bluth, frustrated with the output his company, Disney was churning, defected from the Mouse House to form his",English
"Wow, what a waste of acting talent. My husband and I sat there, both thinking, this has to get better, these actresses are too good to have wasted their time on this",English
"I went to see ""Evening"" because of the cast. I'd gone to see ""Norman's Room""",English
"The story of a woman (Ann) on her death bed, her two daughters (Nina and Constance) and her thoughts about her past. The flashbacks are concerning a weekend where young Ann is in the wedding of her friend Lila. At the wedding",English
Some of these viewer comments are just ridiculous. Not painful to watch with your significant other? I was apologizing to my,English
This crap is like watching paint dry. I'm so disappointed because I was so eager to see it.<br /><br />There simply is no meaning to this film. If it were never,English
"I knew that 'Evening' was a girlie film, so I was expecting to be bored. A wicked tease on IMDb had said that it was a 'chick flick' but that your",English
Just PPV'd this. I don't want to waste too much time on this as most of the posters here put it better than I ever,English
"With a cast list like this one, I expected far better. Venessa Redgrave spent the majority of the movie lying in bed. The best actresses in the world cannot make anything very interesting when their acting is limited to lying down and falling asleep throughout",English
"I saw this in a sneak two days before the official opening, and I must say I was extremely disappointed. And I have to put the majority of these problems on the decision",English
"This is, without a doubt, the most offensive ""chick flick"" I have seen in years, if not ever. The writing & characterizations are so riddled",English
"I never expect a film adaptation to follow too closely to the novel (especially a beloved one, like Evening) but when I saw that the book's author, Susan Minot, was a screenplay writer",English
Cast to die for in a movie that is considerably less. Vanessa Redgrave is dying but before she goes she begins to tell her daughters the story of her life and,English
Almost as tedious to,English
I looked over the other comments and was thoroughly amused to find that clearly only people who actually worked on the,English
"""The 40 Year Old Virgin"" exists in a world I don't understand. A world where an electronics store employee can tell his boss to ""f*** off"" and broadcast",English
It is amazing to me what passes for entertainment today. maybe I,English
"About 15 minutes in, my wife was already wanting to leave. Not so much because of the material, but the lack thereof. They decided to fill in the blanks where the",English
Wow! This film,English
"After we counted the use of the f word, oh, about 22 times in the first 10 minutes or so of the film, listened",English
"At least with the teenage geek gets the girl films, the guy is usually unpopular with girls. In the 40 Year Old Virgin he is",English
"Bela Lugosi is not typecast in this fantastic twelve-part adventure serial, playing",English
"""The Return of Chandu"" is notable, if one can say that, for the casting of Bela Lugosi as the hero rather than the villain. Why he even gets the girl.<br /><br /> The story as such, involves the Black Magic Cult of Ubasti trying to capture the last",English
Ever notice how in his later movies Burt Reynolds' laugh sounds like screeching brakes?<br /><br />Must have been hanging out with Hal Needham too much.<br /><br,English
"Oh man is this movie bad. It flows horribly. The story is about a race car driver who is in love with himself, and then",English
"This is one of the most insipid, lackluster, unoriginal, and pointless movies ever made! It almost feels like everyone involved in this project didn't even try to make an appealing movie. This is nothing more than a continuation of a",English
"Burt Reynolds came to a point in his career where he appeared to just be going thru the motions. He'd show up, party",English
It occurs to me that some of the films that have been banned during the course of cinema history were actually very important and very good films. I'd like to argue,English
This should not have been listed as a Colombo,English
"Whenever a Columbo story deviates from the familiar plot (colorful killer commits crime, Columbo smokes out",English
Seriously what were they thinking? Over,English
"The script for this Columbo film seemed to be pulled right out of a sappy 1980's soap opera. Deeply character-driven films are great,",English
"I love Columbo and have seen pretty much all of the episodes but this one undoubtedly ranks as the worst of the lot. A mind-bogglingly tedious, pointless, muddled pile of unwatchable drivel that wastes both the time of the viewing",English
Loyalty to Peter Falk is all that kept me from giving this awful picture the (1) it deserved.,English
"Absolute garbage. The reason that this is so terrible is not because it deviated from the formula, but because the plot was just pathetic. <br /><br />The supposed star didn't do anything to solve the case - and neither did anyone",English
"An uninspired and undistinguished ""new""",English
Most definitely the worst Columbo ever dreamt up. No,English
"This show stinks. For parents, they usually want their",English
My children watch the show everyday that its on. Its a great program for younger children. However,English
"Normally when I write a review for a movie online, it is for one of three reasons. Either, I have found something exceptionally",English
"I am currently sitting here, forcing myself to finish this. I figure I blew",English
"I must admit I burst out laughing when I saw one reviewer compare this to LOTR. Well yes, if you exclude the dwarfs, the cast of thousands, the great special effects, the big battles, the strong characterization, the decent plot,",English
"Wow...<br /><br />I picked this up at the local Wal-Mart after reading online that it had been released early. I've been following this online for some time, and just had to buy the film.<br /><br />Wow...<br /><br />I guess the",English
Is it possible to give a movie NO STARS? I suppose not. However many stars IMDb displays this just think,English
"I honestly believe that ANYONE considering film-making be subjected to this mind-boggling failure. Like the ""films"" of Edward Wood, Jr. in the '60s and",English
After hearing the word of mouth of just how bad this film is I took the plunge and bought the DVD. That said everything previously mentioned about this film is true. For a film that claimed to have a budget in the millions it just does not show on,English
"Nu Image, UFO and others produce films for the SCI FI channel that come in with budgets of",English
"I love movies, and I'll watch any movie all the way through, just to give it a chance. I can",English
Finally i thought someone is going to do justice to H.G. Wells's,English
"Save the $8.97 you'll spend at Walmart to buy this DVD and go see the real film by Steven Spielberg.<br /><br />I'm a filmmaker, and being an avid fan of H.G. Wells, I had to buy this hoping to sit",English
"I'm not really sure how to even begin to describe how bad this movie is. I like bad films, as they are often the most entertaining. I love bad special effects, bad acting, bad music, and inept direction. With the exception of the music (which was better than I",English
"Holy freaking God all-freaking-mighty. This movie was so bad, I thought I was on drugs. In a bad way... The",English
Holy freaking God all-freaking-mighty.,English
If this film had a budget of 20 million I'd just like to know where the money went. A monkey could make better CGI effects then what was wasted,English
"I have just lost three hours of my life to this travesty, and I can honestly say I feel violated. I had read the reviews and heard the warnings,",English
"Well, on it's credit side (if it can be said to have one), Timothy Hines DID manage to capture the original setting of H.G. Wells' outstanding novella. But other than that - well, to call a spade a spade - it sucks bigtime. What the Master",English
"Hines and Goforth, the perpetrators of this crime, begin on the wrong foot first step, by assuming that Wells wrote Gothic horror and that all of his lines are meant to be taken seriously. That simply isn't true. Wells was very much an",English
"Let this serve as a warning to anyone wishing to draw attention to themselves in the media by linking their name to that of a well-loved and well-respected, not to say revered author, in order to",English
"WOW!<br /><br />I just was given this film from a friend of mine, who bought it for 1.98 at Walmart, and he felt that he got taken! It is beyond boring, most of the scenes are",English
"Twenty years ago, the five years old boy Michael Hawthorne witnessed his father killing his mother with an axe",English
"Five-year-old Michael sees his mother getting axed to death by his serial killer father ""The Highwayman,"" who later commits suicide. ""20 years later"" grown Mike (Gordon Currie, from PUPPET MASTER 4 and 5) invites seven of his friends to his",English
"This movie was crap with a capital ""C."" The opening scene showed promise. But that ""promise"" was broken shortly after the viewer learns where the plot is going.<br /><br />And the",English
"Those of you who, like me, were disappointed with the original 1995 horror yarn, ""The Fear"" will find more to be disappointed with in this silly",English
A young boy sees his mother getting killed and his father hanging himself. 20 years later he gets a bunch of friends together to perform,English
Mike Hawthorne(Gordon Currie)is witness to the brutal murder of his mother and suicide of his,English
I have not seen the first film and if it anything like this have no great desire to. <br /><br />Having just,English
"Before starting to watch the show,",English
"i am very disappointed with this movie because i like these french actors and i liked ""Buffet Froid"" from this Director (bertrand blier) but the script of ""Les Acteurs"" is VERY POOR. why these actors they",English
"I am really shocked that a great director like Chuck Jones started out making some of the most incredibly boring cartoons I've ever seen. I did not laugh once throughout this short, and it's a",English
I am amazed at the amount of,English
"This was an awful movie! Not for the subject matter, but for the delivery. I went with my girlfriend at the time (when the movie came out), expecting to see a movie",English
"The concept for Sarafina appears to be a sound one, that is aside from the musical perspective. It attempts to combine upbeat African music with a story describing",English
I just didn't get this movie...Was it a musical? no..but there were choreographed songs and dancing in it...<br /><br />Was it a serious drama....no the,English
One scene,English
This film has got several key flaws. The first and most significant of which is the clear,English
"You may want to know up front that I am not a Mormon, unlike a good number of those who",English
"This film, though ostensibly a comedy, is deadly serious. Its subject is Imperialism (with a capital I): how Britain, foolishly, humiliatingly, tries to convince itself",English
"The main reason people still care about ""Carlton-Browne Of The F.O."" is that it features Peter Sellers",English
"It was meant to be a parody on the LOTR-Trilogy. But this was one of the most awful movies I've ever seen. Bad acting, bad screenplay, bad everything. THIS IS MY PERSONAL OPINION. I don't doubt any second that",English
This movie is one of the,English
"This sounded like a really interesting movie from the blurb. Nazis, occult , government conspiracies. I",English
"This is a movie of tired, yet weirdly childish, clichés. There's a Nazi witch master performing sf-related experiments in the basement? Oh please! <br",English
"Can I please say first of all, that I felt so strongly about this movie that I signed up to IMDb specifically to review it. And my review? This is easily the worst movie I have ever",English
When I started watching this movie,English
"I'm not sure this is a spoiler; perhaps it is a public service. If you are one of those people focused on instant gratification who skip end credits, you will miss the final",English
"I read Rice's novel with interest, and became quite enchanted with its characters and heartbreaking",English
"This movie was so badly written, directed and acted that it beggars belief. It should be remade with",English
"The story and the show were good, but it was really depressing and I hate depressing movies. Ri'Chard is great. He really put on a top notch performance, and the girl who played his sister was really awesome and",English
"""Feast of All Saints?"" Where...?",English
"The story and the show were good, but it was really depressing and I hate depressing movies.",English
There's so little here of the fantastic Anne Rice book that what IS here makes no sense. Some of the characters--intense and,English
"A slick romanticizing of the sexual exploitation of NewOrleans black women by white men of power and privilege. Ooh. Does that whet your appetite? Well, then, belly up to a VHS or DVD and gorge on this gratuitous trolling through a seamy segment of history. For",English
"College students, who are clearing out a condemned dormitory, are stalked by an elusive killer.<br",English
"Daphne Zuniga is the only light that shines in this sleepy slasher, and the light fades quickly. If not her, than what other reason to watch this. five college kids are signed up to prepare an old dorm for its due date of demolition. Problems are automatically occurring",English
"Over Christmas break, a group of college friends stay behind to help",English
I'm not looking for quality; I'm just trying to get through the 74 famous video nasties that were banned in Britain. This one was,English
"Probably one of the most boriest slasher movies ever, badly acted and badly written.<br /><br />THE PLOT Five students staying behind during the holidays",English
An uninteresting addition to the,English
"The two things are are good about this film are it's two unknown celebrities.<br /><br />First, Daphne Zuniga, in her first appearance in a film, young and supple, with looks that still encompass her body today, steals the very beginning, which is all she",English
"Eh, not a particular good slasher flick. So-so acting, effects, decent yet familiar and uninventive soundtrack.<br",English
I heard so much about this movie how it was a great slasher and one of those,English
"It's the early 80s. There's a group of suspiciously old-looking teens. And there's a maniac stalking around. Yes, this is slasherville.<br /><br />This movie is called Pranks. Why is it called Pranks? I haven't the faintest idea. Unless your idea of a great prank",English
"((NB: Spoiler warning, such as it is!))<br /><br />First off, this is a teen slasher flick -- the Spam-In-A-Cabin genre, as Joe Bob Briggs piquantly put it. If you're looking for Roshambo, this isn't it",English
"One of a multitude of slashers that appeared in the early eighties, Pranks is notable only for an early performance by Daphne Zuniga (The Sure Thing, The Fly 2); her character dies fairly early on, and the rest of the film is",English
This one probably does not fit in the bottom of the barrel of mediocre Slasher movies but it's surely a damn bad movie.<br /><br />The Holiday premise made it kind of interesting but after the first scenes the movie,English
"If you've ever seen an eighties slasher, there isn't much reason to see this one. Originality often isn't one of slasher cinema's",English
"What the ........... is this ? This must, without a doubt, be the biggest waste of film, settings and camera ever. I know you can't set your expectations for an 80's slasher high, but this is too stupid to be true. I baught this film for 0.89$ and I",English
"I've always liked Fred MacMurray, andalthough her career was tragically cut shortI think Carole Lombard is fun to watch. Pair these two major and attractive stars together, add top supporting players like Jean Dixon, Anthony Quinn, Dorothy Lamour and",English
"I am a big fan of Fred MacMurray and Carole Lombard. And, in",English
"In what would be his first screenplay, based on his own short story ""Turn About,"" William Faulkner delivers a bizarre story of",English
"My wife and I thought that with this cast and director, the movie would have to be at least worth watching. We were wrong. In fact, we gave up on it after 45 minutes. The idea that Crawford, Young and Tone are British but speak with American accents",English
Couldn't believe it! Clipped sentences? Good grief! Know what? All true! Real people ever talk like this? Don't think so. Good girl! Stout fellow! Stiffen upper lip! Only reason given movie 2 instead of 0 Gary Cooper such a dish. Movie as a whole ridiculous unless you like,English
Lulu (Louise Brooks) works as a typist and is missing something in,English
Please Note: I see from the various posts that there was an original silent version and also a sound version,English
This review may contain some SPOILERS.<br /><br />Just when you thought they didn't make them,English
"I finally caught up to ""Starlight"" last night on television and all I can say is. . . wow! It's hard to know where to begin -- the incredibly hokey special effects (check out the laser beams shooting out of Willie's eyes!), the atrocious acting,",English
"This has an interesting, albeit somewhat fanciful sci-fi plot, but it's wasted with poor direction and shlocky special effects. Rae Dawn Chong is appealing, despite the lack of a believable story and direction consistent with her talent.",English
"All I can really say is that I'm glad that I was knitting socks while watching the movie, or I would",English
"I shudder to think what people must have thought of environmentalists after viewing this piece of overbearing, preachy cinematic trash. Larded with enough",English
"I wanted to see it because of two reasons. One, it was the remake of High Sierra with Bogart,",English
"City girl Meg Tilly receives a horrifying phone call from her mother and, understandably shaken, returns home to her family's rural digs, only to be faced with a mystery: why are",English
"I have been known to fall asleep during films, but this is usually due to a combination of things including, really tired, being warm and comfortable on the sette and having just eaten a",English
...let me count the ways.<br /><br />1. A title-only 'remake' that pulls out every cliché in the slasher,English
Prom Night is shot with the artistic eye someone gives while finely crafting a Lifetime original film. You know the,English
"Poor acting, no",English
Prom Night is about a girl named Donna (Brittany Snow) who is being chased by a psycho killer trying to kill her at her prom night.,English
"I am the guy who usually keeps opinions to himself, but I just got back from this movie, and felt I had to express my opinions. Let me start by saying that I am a HUGE horror fan. But what makes a horror movie? I sure like",English
"So, Prom Night was supposed to be a horror and thriller movie. I'm a big wuss and was scared to see this movie at the beginning, but upon seeing it, it is neither horror or thriller.<br /><br />I was basically making fun of the movie in my",English
"When I first saw the trailer for Prom Night, I have to admit, the trailer looked good and like this would be a fun horror movie. So",English
"I saw this trailer and thought to myself my god is this movie for real, who would want to",English
"In Bridgeport, the deranged high school teacher Richard Fenton",English
"I'm not particularly fond of remakes, or to steal the modern jargon ""retellings"", but this film truly",English
Imagine the scenario,English
